,city,job_title,salary
812,atlanta,research analyst,20800
1010,pittsburgh,student researcher for computational biomechanics and machine learning,20800
855,dallas,data scientist,23920
1142,phoenix,entry level construction field technician,23920
1696,boulder,digital analyst   media trader,26000
525,los angeles,intern,27560
329,austin,research engineering  scientist assistant   research engineering scientist assistant,27996
862,dallas,marketing research analyst   part time,28080
1680,boulder,biological science technician  plants invasive ,29744
341,austin,research engineering  scientist assistant,30000
354,austin,research engineering  scientist assistant,30000
990,pittsburgh,flow cytometry technologist,30810
171,chicago,macro economic research analyst   intern,31200
336,austin,sales coordinator,31200
393,austin,sales coordinator,31200
1542,washington dc,intern,31200
942,pittsburgh,data management and quantitative analysis,32500
586,los angeles,intern,36500
416,seattle,intern,36954
1606,washington dc,intern,37665
464,seattle,intern,38850
1472,miami,research analyst  bioinformatics ,39450
357,austin,development researcher   research analyst,39996
316,austin,data analyst   public education data analysis,40000
1127,phoenix,marketing media data analyst predictive modelling,40000
952,pittsburgh,statistical data analyst,40014
1094,portland,fish biologist 1  non permanent  09148 18,40074
631,los angeles,intern,40500
641,philadelphia,content development intern,41600
771,atlanta,data information research analyst,41600
1296,denver,research analyst ii  health program,41832
409,austin,research engineering  scientist associate iii   texnet operations associate,42228
119,chicago,research analyst  data analyst,43680
565,los angeles,intern,43680
429,seattle,intern,44886
615,los angeles,intern,45000
1497,miami,research analyst ii,45000
546,los angeles,intern,45000
440,seattle,intern,45252
458,seattle,intern,45252
1421,houston,quality assurance analyst  research ,45984
1511,miami,senior research associate 1,46000
113,chicago,contract food scientist  part time ,46800
1133,phoenix,environmental scientist   contracts manager,47500
1178,phoenix,environmental scientist 2   contracts manager,47500
1402,houston,post doctoral fellow,48342
522,seattle,intern,48606
1061,portland,program assistant   nature education,49119.2
314,austin,fashion data scientist,50000
526,los angeles,intern,50000
600,los angeles,intern,50000
740,atlanta,research data analyst,50000
1158,phoenix,environmental scientist ii   risk evaluator,50000
1196,phoenix,environmental scientist 2  3   risk evaluator,50000
1117,portland,clinical research coordinator,50145.5
1530,washington dc,intern,50294.4
101,chicago,collegiate hiring initiative,50637.6
965,pittsburgh,lead analyst  data management quant analysis,52000
331,austin,analyst  research,53149
100,chicago,fbi intelligence analyst,53500
395,austin,engineering scientist associate,54996
1441,miami,entry scientist  dermatology   cutaneous surgery,56000
1471,miami,research scientist,56000
1489,miami,sr  research analyst,56000
1128,phoenix,data  research  and statistical specialist vi  job 2260 ,56677
1284,denver,clinical data analyst  open rank ,57500
1330,houston,research scientist   symptom research,59850
1254,denver,data engineer,60000
1673,boulder,data engineer,60000
1123,phoenix,data scientist,62500
1172,phoenix,data scientist,62500
59,new york,intern,65000
1081,portland,market research analyst,65000
45,new york,jr data scientist,65570
1531,washington dc,jr data scientist,66320.8
1562,washington dc,jr data scientist,66320.8
1348,houston,research scientist   next generation sequencing,66500
1482,miami,biological administrator iii   ses,67584
599,los angeles,jr data scientist,70000
1124,phoenix,chemist,70000
1174,phoenix,chemist,70000
1269,denver,organic scientist,70000
1195,phoenix,computer engineer electronics engineer computer scientist,71908
1508,miami,sr  manager  clinical research   pediatrics,72000
1592,washington dc,jr data scientist,72341.5
380,austin,engineering scientist associate   software engineering associate,72996
1386,houston,research compliance analyst,74500
1629,boulder,electro optical scientist applied mathematician,75000
1432,miami,assistant scientist  otolaryngology,75400
84,new york,jr data scientist,76193
1392,houston,research statistical analyst   biostatistics,76950
102,chicago,credit audit data scientist   analyst,77500
531,los angeles,jr data scientist,77658
